No.,Query,Category,Generated Answer,Answered?,Text Chunks Retrieved,Top Text Similarity,Avg Text Similarity,Images Retrieved,Top Image Similarity,Retrieved Source URLs,Answer Length (words),Latency (s)
11,What is campus life like at GIKI?,Campus Life,"Campus life at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) appears to be vibrant and active, with a variety of events and activities taking place. The image provided shows a lively outdoor gathering or event where many students are present, suggesting that GIKI hosts numerous social and academic events throughout the year. Additionally, the text mentions registration for courses like ""Empower Students with High-Demand Skills,"" indicating an emphasis on education and skill development within the institution.",Yes,3,0.485,0.43,1,0.309,https://giki.edu.pk/fme/ | https://giki.edu.pk/ml-ds-registration/ | https://giki.edu.pk/sdgiki/sdg-2-zero-hunger/,79,134.12
12,What research areas and centers does GIKI focus on?,Research,"The provided context does not specifically detail the research areas or centers that GIKI focuses on. It mentions various societies and events organized by GIKI, but it does not provide information about specific research fields or centers within the institute. For a comprehensive understanding of GIKI's research focus, one would need to refer directly to the institution’s official publications or contact them for more detailed information.",Yes,3,0.642,0.63,1,0.329,https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/,66,4.92
13,Who is the Rector of GIKI and who leads the institute?,Administration,"The President of Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) leads the institute. The Rector of GIKI is not specified in the provided context, but it's mentioned that H.E. Prof. Dr. Mehmet Pacaci visited the GIK Institute during discussions with various officials including the President, Executive Director, Rector, Pro Rectors, and Deans.",Yes,3,0.694,0.673,1,0.333,https://giki.edu.pk/reunion/reunion-donation/ | https://giki.edu.pk/sdg-4-quality-education/,55,4.66
14,What is the history and background of GIKI?,About,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) has a rich history and background, as evidenced by its involvement in various societies aimed at enhancing student life. It is noted for being one of the founding members of the successful Inter-Pakistan Universities Sports Association, allowing GIKI to compete with prestigious universities from across Pakistan.  Additionally, GIKI is recognized for organizing business launch competitions such as the All Pakistan Engineering Conference and the All Pakistan Business Festival. The institute also hosts workshops on professional software like SAP and technical softwares like MATLAB, SIMULINK, MULTISIM, and SOLIDWORKS, and has established technology incubation centers.  Furthermore, GIKI is home to societies dedicated to fostering character development among students through activities such as the CBS society aiming for an admirable sense of character. The institute also supports the American Institute of Aeronautics and Astronautics (AIAA) chapter, which focuses on technical advancements in aerospace engineering.  The institute's commitment to extracurricular activities is further highlighted by its Science Society, which has organized events like the All Pakistan Science Fair, Science Marathon, Science Kasoty, Astronomy Night, invention contests, quiz competitions at La' Cafe, and Eureka. These initiatives have helped GIKI carve out a unique niche in the extra-curricular landscape of the institute.  The Career Fair 2024 event mentioned in Image 1 underscores GIKI's ongoing efforts to engage with industry and provide students with practical career insights.",Yes,3,0.594,0.581,1,0.343,https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/,231,9.39
15,Where is GIKI located and how do I get there?,Location,"The provided text does not contain specific information about the location of GIKI or directions to reach it. For accurate details, you would need to refer directly to official sources or contact the institution for more precise information.",No (not in context),3,0.622,0.604,1,0.298,https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/ | https://giki.edu.pk/reunion/reunion-donation/ | https://giki.edu.pk/sdg-4-quality-education/,38,127.53
16,What industry partnerships or collaborations does GIKI have?,Partnerships,"GIKI has several industry partnerships and collaborations, including:  1. **Artificial Intelligence** - Partnered by Huawei. 2. **Chemical Engineering** 3. **Civil Engineering** 4. **Electrical Engineering**  These partnerships aim to enhance the quality of education at GIKI through joint research projects, innovation hubs, and industry-driven startup initiatives.",Yes,3,0.663,0.658,1,0.334,https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/ | https://giki.edu.pk/sdg-17-partnership-for-goals/ | https://giki.edu.pk/sdg-4-quality-education/,45,4.69
17,What career services or job fairs does GIKI organize?,Careers,"GIKI organizes the Career Fair, which is an annual event where industry leaders interact with third and final-year students to hold interviews for jobs and internships. The fair provides a platform for industry-university interaction and offers a meeting place for senior students and their prospective employers. Additionally, GIKI has a Quality Enhancement Cell that organizes business launch competitions and various workshops on professional software packages such as SAP and technical softwares like Matlab, Simulink, Multisim, and Solidworks.",Yes,3,0.685,0.656,1,0.366,https://giki.edu.pk/event/giki-career-fair-2024/ | https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/,77,14.13
18,What notable achievements or rankings does GIKI have?,Achievements,"The provided text does not contain specific information about notable achievements or rankings that GIKI has. It mentions various societies and organizations at the institute, but does not provide details on academic or extracurricular accomplishments. For such information, you would need to refer directly to the sources mentioned in the context for a more comprehensive answer.",No (not in context),3,0.634,0.611,1,0.307,https://giki.edu.pk/ | https://giki.edu.pk/quality-enhancement-cell/societies-at-gik/,56,17.22
19,What faculty departments exist at GIKI?,Departments,"At Ghulam Ishaq Khan Institute of Engineering Sciences and Technology, the following faculty departments are mentioned:  1. **Computer Engineering** 2. **Civil Engineering** 3. **Electrical Engineering**  These programs are offered to third and final year students as part of the institute's initiatives to showcase companies and engage with students.",Yes,3,0.638,0.635,1,0.375,https://giki.edu.pk/2022/08/05/boq-faculty-apartments/ | https://giki.edu.pk/it/ | https://giki.edu.pk/personnel/dr-zia-ul-haq-abbas/,48,4.5
20,How can I contact GIKI for admissions queries?,Contact,"You can contact GIKI for admissions queries by emailing at nizakat@giki.edu.pk or dialing +92 938 271858, ext. 2315. Additionally, you can visit their LinkedIn page (https://linkedin.com/fme-faculty-of-mechanical-engineering-gik-institute) and Facebook page (https://www.facebook.com/fmegik/) for more information or inquiries about the Mechanical Engineering Program, entry requirements, scholarships, and prospective careers.",Yes,3,0.59,0.55,1,0.371,https://giki.edu.pk/fme/ | https://giki.edu.pk/ml-ds-registration/ | https://giki.edu.pk/order-a-transcript/,46,5.24
