Backend,No.,Query,Category,Status,Reference Text,Round-trip Transcript,WER,ROUGE-L F1,BERTScore F1,Synthesis Time (s),Audio Duration (s),Real-Time Factor
piper,3,What engineering disciplines can I study at GIKI?,Engineering,ok,"At the Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), you can study several engineering disciplines, including: - Artificial Intelligence - partnered by Huawei
- Chemical Engineering
- Civil Engineering
- Computer Engineering
- Electrical Engineering The registration deadline for these programs is Monday, February 12, 2024.","At the Gillum ISHA Khan Institute of Engineering Sciences and Technology Jiki, you can study several engineering disciplines, including artificial intelligence partnered by Huawei Chemical Engineering Civil Engineering Computer Engineering Electrical Engineering the registration deadline for these programs is Monday, February 12, 2024.",0.2889,0.9302,0.8998,0.979,20.96,0.047
piper,4,What postgraduate and PhD programs are available?,Postgraduate,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following graduate programs: 1. Master's (MS) in Computer Science and Computer Engineering.
2. Doctor of Philosophy (PhD) in Computer Science and Computer Engineering. Additionally, there is a Graduate Program in Chemical Engineering that offers both Masters (MS) and Doctor of Philosophy (PhD) degrees. The program covers various research areas including Process & Equipment Design, Fluid handling and Thermodynamic Behavior, Catalytic Reaction, Transport Processes Engineering, Modeling and Simulation, Waste Water Treatment, among others. The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in Chemical Engineering.","The Golem Aisha Khan Institute of Engineering Sciences and Technology offers the following graduate programs, one, Masters MS in Computer Science and Computer Engineering, two, Doctor of Philosophy, PhD in Computer Science and Computer Engineering. Additionally, there is a graduate program in Chemical Engineering that offers both Masters MS and Doctor of Philosophy PhD degrees. The program covers various research areas including process and equipment design, fluid handling and thermodynamic behavior, catalytic reaction, transport processes engineering, modeling and simulation, waste water treatment, among others. The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in chemical engineering.",0.3028,0.9545,0.8465,2.296,48.13,0.048
piper,5,How does the admission process work and what are the requirements?,Admissions,ok,"The admission process at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology involves several steps: 1. **Eligibility Criteria**: Candidates must have completed a High School diploma, IB diploma, B.Sc., or DAE to be eligible for provisional admission. 2. **Admission Test**: The admission test is conducted annually (e.g., 2026). Admit cards are issued after the test results are announced. 3. **Application Process**: - Candidates can apply online through the official website. - They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. 4. **Confirmation of Admission**: Confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria (15% minimum merit). For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the Admission Office directly.","The admission process at Guillaume Isia Khan Institute of Engineering Sciences and Technology involves several steps. 1. Asterisk Asterisk Asterisk eligibility criteria Asterisk Asterisk Candidates must have completed a high school diploma, i.e. diploma, b.se. or DAE to be eligible for provisional admission. 2. Asterisk Asterisk admission test Asterisk Asterisk The Determission Test is conducted annually EG-2026. Admit cards are issued after the test results are announced. 3. Asterisk Asterisk application process Asterisk Asterisk Candidates can apply online through the official website. They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. 4. Asterisk Asterisk confirmation of admission Asterisk Asterisk confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria 15% minimum merit. For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the admission office directly.",0.2917,0.8984,0.7841,3.152,69.32,0.045
piper,6,What scholarships or financial aid does GIKI offer?,Scholarships,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website:","The Golan Isha Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website.",0.1071,0.9286,0.8939,0.556,11.47,0.048
piper,7,Tell me about the hostel and accommodation facilities.,Hostels,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) offers a range of accommodation options for its students, including hostels and independent houses. **Hostels:**
- **Boys Hostels:** There are ten hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms.
- **Girls Hostel:** Located on the other side of the institute near the Medical Center and Campus Market, this hostel offers separate facilities for girls students.
- **Facilities in Hostels:** Each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and Sophomore students are provided shared accommodation with attached bathrooms, while Junior and Senior students typically have single rooms on merit basis. **Independent Houses:**
- The institute's faculty and staff members reside in independent houses and flats located within the campus premises.
- **Facilities:** These accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. **Additional Facilities:**
- The GIKafe serves as another dining option available on campus.
- **Facilities in GIKafe:** This cafeteria offers a variety of meals and beverages, catering to the needs of students and staff alike.","The Gillam Ishaq Khan Institute of Engineering Sciences and Technology Jiki offers a range of accommodation options for its students, including hostels and independent houses. Asterisk Asterisk Asterisk Asterisk Asterisk Asterisk Boys Asterisk Asterisk Asterisk Asterisk There are ten hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms. Asterisk Asterisk Girls Asterisk Asterisk Asterisk Asterisk located on the other side of the institute near the medical center and campus market. This hostel offers separate facilities for girls students. Asterisk Asterisk Facilities and Hostels Colon Asterisk Asterisk each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and sophomore students are provided shared accommodation with attached bathrooms. While junior and senior students typically have single rooms on merit basis. Asterisk Asterisk Independent Houses Colon Asterisk Asterisk The Institute's faculty and staff members reside in independent houses and flats located within the campus premises. Asterisk Asterisk Facilities Colon Asterisk Asterisk These Accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. Asterisk Asterisk Additional Facilities Colon Asterisk Asterisk The GI Caves serves as another dining option available on campus. Asterisk Asterisk Facilities and GI Caves Colon Asterisk Asterisk This cafeteria offers a variety of meals and beverages catering to the needs of students and staff alike.",0.392,0.8688,0.7391,4.932,95.24,0.052
piper,8,What sports and recreational facilities are on campus?,Sports,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers a variety of sports and recreational facilities for its students. These include: 1. **Sports Complex**: Located in close proximity to the student hostels, this complex covers an area of 3100 Sq. Yds. with a covered area of 31500 Sq. Ft. It features: - A completely covered swimming pool of international standard. - Three standard Squash Courts. - A Gymnasium that includes: - A main hall for playing Basketball, Volleyball, and Badminton on a make-shift basis. - An exercise room with modern equipment for various physical exercises. 2. **Sports Facilities**: The campus also has facilities for other sports such as basketball, volleyball, and badminton in the gymnasium's main hall. These facilities are designed to cater to the diverse needs of students, providing a space where they can engage in both competitive and recreational activities.","The Gillum A. Shaq Khan Institute of Engineering Sciences and Technology offers a variety of sports and recreational facilities for its students. These include one, asterisk asterisk sports complex asterisk asterisk located in close proximity to the student hostels. This complex covers an area of 3,100 sq. It's with a covered area of 31,500 sq. FT, it features a completely covered swimming pool of international standard, three-standard squash courts, a gymnasium that includes a main hall for playing basketball, volleyball, and badminton on a makeshift basis. An exercise room with modern equipment for various physical exercises. Two, asterisk asterisk sports facilities asterisk asterisk. The campus also has facilities for other sports such as basketball, volleyball, and badminton in the gymnasiums main hall. These facilities are designed to cater to the diverse needs of students, providing a space where they can engage in both competitive and recreational activities.",0.3403,0.8973,0.7926,3.341,60.79,0.055
pyttsx3,1,What undergraduate programs does GIKI offer?,Academic Programs,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs: 1. Artificial Intelligence - partnered by Huawei
2. Chemical Engineering
3. Civil Engineering
4. Computer Engineering
5. Electrical Engineering These programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.","The Ghulam-Ishak Khan Institute of Engineering Sciences and Technology offers the following undergraduate programs, One Artificial Intelligence, partnered by Waii. Two Chemical Engineering, Three Civil Engineering, Four Computer Engineering, Five Electrical Engineering These programs are available for students to choose from, with a registration deadline on Monday, February 12, 2024.",0.2917,0.8627,0.888,0.695,24.49,0.028
pyttsx3,2,Tell me about the Artificial Intelligence degree program.,AI Program,ok,"The Artificial Intelligence degree program at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers courses leading to both Master’s (MS) and Doctor of Philosophy (PhD) degrees in Computer Science and Computer Engineering. Key areas covered include:
1. Artificial Intelligence and Robotics
2. Algorithms and Computational Theory
3. High performance computing
4. Machine Learning & Data Mining
5. Network Communication and Distributed Systems
6. Signal and Image Processing and Computer Vision
7. Software and Systems Engineering The program also offers advanced courses in AI, such as:
- Introduction to artificial intelligence (AI), AI problems and applications, human intelligence vs machine intelligence, state-space search problem, heuristic search techniques, problem reduction representation, problem reduction search, knowledge representation techniques, concept of reasoning in AI, predicate logic, fuzzy logic, logical reasoning, genetic algorithms, machine learning The courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart (emotional intelligence) and mind (cognitive abilities), encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the linked pages or visit the official website at .","The Artificial Intelligence Degree Program at Ghulamishak Khan Institute of Engineering Sciences and Technology offers courses leading to both Masters, MS, and Doctor of Philosophy, PhD, Degrees in Computer Science and Computer Engineering. Key areas covered include One Artificial Intelligence and Robotics Two Algorithms and Computational Theory Three High Performance Computing Four Machine Learning and Data Mining Five Network Communication and Distributed Systems Six Signal and Image Processing and Computer Vision Seven Software and Systems Engineering the program also offers advanced courses in AI, such as Introduction to Artificial Intelligence, AI AI Problems and Applications, Human Intelligence VS Machine Intelligence, State Space Search Problem, Heuristic Search Techniques, Problem Reduction Representation, Problem Reduction Search, Knowledge Representation Techniques, Concept of Reasoning in AI, Predicate Logic, Fuzzy Logic, Logical Reasoning, Genetic Algorithms, Machine Learning the courses are designed with a balance between theoretical understanding and practical application. The program emphasizes the importance of both heart, emotional intelligence, and mind, cognitive abilities, encouraging students to develop their skills holistically. For more detailed information on specific courses offered in the AI degree program, you can refer to the course details provided in the link pages or visit the official website at",0.3895,0.9517,0.9289,0.32,87.68,0.004
pyttsx3,3,What engineering disciplines can I study at GIKI?,Engineering,ok,"At the Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI), you can study several engineering disciplines, including: - Artificial Intelligence - partnered by Huawei
- Chemical Engineering
- Civil Engineering
- Computer Engineering
- Electrical Engineering The registration deadline for these programs is Monday, February 12, 2024.","At the Ghulam-Ijak Khan Institute of Engineering Sciences and Technology, G-I-K-I, you can study several engineering disciplines, including, Artificial Intelligence, Partnered by Waii, Chemical Engineering, Civil Engineering, Computer Engineering. Electrical Engineering the registration deadline for these programs is Monday, February 12, 2024.",0.3111,0.8989,0.8412,0.153,23.58,0.006
pyttsx3,4,What postgraduate and PhD programs are available?,Postgraduate,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers the following graduate programs: 1. Master's (MS) in Computer Science and Computer Engineering.
2. Doctor of Philosophy (PhD) in Computer Science and Computer Engineering. Additionally, there is a Graduate Program in Chemical Engineering that offers both Masters (MS) and Doctor of Philosophy (PhD) degrees. The program covers various research areas including Process & Equipment Design, Fluid handling and Thermodynamic Behavior, Catalytic Reaction, Transport Processes Engineering, Modeling and Simulation, Waste Water Treatment, among others. The institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in Chemical Engineering.","The Gulamish Akkan Institute of Engineering Sciences and Technology offers the following graduate programs, One Masters, MS, in Computer Science and Computer Engineering. Two Doctor of Philosophy, PhD, in Computer Science and Computer Engineering. Additionally, there is a graduate program in Chemical Engineering that offers both Masters, MS, and Doctor of Philosophy, PhD, Degrees. The program covers various research areas including process and equipment design, fluid handling and thermodynamic behavior, catalytic reaction, transport processes engineering, modeling and simulation, waste water treatment, among others. The Institute also provides opportunities for students to pursue their higher studies or continue their careers as professional engineers through its graduate programs in Chemical Engineering.",0.3303,0.9498,0.8033,0.203,49.29,0.004
pyttsx3,5,How does the admission process work and what are the requirements?,Admissions,ok,"The admission process at Ghulam Ishaq Khan Institute of Engineering Sciences and Technology involves several steps: 1. **Eligibility Criteria**: Candidates must have completed a High School diploma, IB diploma, B.Sc., or DAE to be eligible for provisional admission. 2. **Admission Test**: The admission test is conducted annually (e.g., 2026). Admit cards are issued after the test results are announced. 3. **Application Process**: - Candidates can apply online through the official website. - They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. 4. **Confirmation of Admission**: Confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria (15% minimum merit). For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the Admission Office directly.","The admission process at Ulamish Akkan Institute of Engineering Sciences and Technology involves several steps, one eligibility criteria, candidates must have completed a high school diploma, IB diploma, bachelor's of science, or day-to-be eligible for provisional admission. Two admission tests, the admission test is conducted annually, Example 2026. Admit cards are issued after the test results are announced. Three application process, candidates can apply online through the official website. They need to ensure they have checked their inbox and spam folders regularly for important announcements and emails related to admission processes. For confirmation of admission, confirmation is subject to submitting results by a specified date in the offer letter, ensuring that candidates meet all eligibility criteria, 15% minimum merit. For more detailed information or specific requirements, candidates are advised to refer to the official website or contact the admission office directly.",0.2569,0.9167,0.8118,0.23,56.83,0.004
pyttsx3,6,What scholarships or financial aid does GIKI offer?,Scholarships,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website:","The Guilamish Akkan Institute of Engineering Sciences and Technology offers both undergraduate and graduate scholarships. For more information, you can apply for admission through the official website.",0.1429,0.9091,0.776,0.12,11.28,0.011
pyttsx3,7,Tell me about the hostel and accommodation facilities.,Hostels,ok,"The Ghulam Ishaq Khan Institute of Engineering Sciences and Technology (GIKI) offers a range of accommodation options for its students, including hostels and independent houses. **Hostels:**
- **Boys Hostels:** There are ten hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms.
- **Girls Hostel:** Located on the other side of the institute near the Medical Center and Campus Market, this hostel offers separate facilities for girls students.
- **Facilities in Hostels:** Each hostel has an air-conditioned common room equipped with a television and satellite receiver. Freshmen and Sophomore students are provided shared accommodation with attached bathrooms, while Junior and Senior students typically have single rooms on merit basis. **Independent Houses:**
- The institute's faculty and staff members reside in independent houses and flats located within the campus premises.
- **Facilities:** These accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. **Additional Facilities:**
- The GIKafe serves as another dining option available on campus.
- **Facilities in GIKafe:** This cafeteria offers a variety of meals and beverages, catering to the needs of students and staff alike.","The Gulamish Akkan Institute of Engineering Sciences and Technology, G-I-K-I, offers a range of accommodation options for its students, including hostels and independent houses. Hostels Asterisk Boys hostels Asterisk there are 10 hostels specifically designated for boys. These hostels provide shared accommodation with attached bathrooms. Girls Hostel Asterisk located on the other side of the institute near the Medical Center and Campus Market, this hostel offers separate facilities for girls students. Facilities in hostels Asterisk each hostel has an air-conditioned common-room equipped with a television and satellite receiver. Freshmen and sophomore students are provided shared accommodation with attached bathrooms, while junior and senior students typically have single rooms on merit basis. Independent Houses Asterisk The institute's faculty and staff members reside in independent houses and flats located within the campus premises. Facilities Asterisk these accommodations offer a more personal and traditional living environment compared to the hostels. Faculty and staff can use these facilities as an alternative to the hostel mess, especially for official and private parties or student functions. Additional Facilities Asterisk The G-I-K-F serves as another dining option available on campus. Facilities in G-I-K-F Asterisk this cafeteria offers a variety of meals and beverages, catering to the needs of students and staff alike.",0.2161,0.9282,0.8082,0.255,82.44,0.003
